"Mots";"Occurrence"
"Color depth";"1"
"E521 [154]";"1"
"Mac OS X";"16"
"Durability";"5"
"Partial match[Note 2]";"1"
"Dimensions (mm)";"1"
"Keying Material Exporter [178]";"1"
"Built-in compression";"1"
"Base elevation (ft)";"2"
"DragonFly BSD";"1"
"Extraction of original audio (served by YouTube)";"1"
"Extendable";"1"
"Assembler";"9"
"Platform-independent";"1"
"*BSD";"1"
"Costs";"1"
"Keystroke stacking";"1"
"Czechia";"9"
"2010[162]";"1"
"Driver name";"1"
"CT[111]";"1"
"secp192k1 (18)[81]";"1"
"Report Output Format";"1"
"Greylisting";"1"
"FreeNAS";"1"
"Partial or full (spherical) panoramas or images from panoramic cameras";"1"
"Format";"71"
"Latest release";"7"
"WorldPay";"1"
"Windows Vista";"1"
".docx";"1"
"Specific impulse (s)[a]";"2"
"Kap IT Labs";"1"
"QNX";"1"
"Topic";"1"
"Modified Time-stamp preserved";"1"
"Different lens types in single panorama";"1"
"Blu-ray Disc";"1"
"Payment model";"1"
"Solar Space Missions";"1"
"VST3";"1"
"Thrust:weight ratio[b]";"1"
"Menu/options prompt";"1"
"Access control lists";"1"
"Commercial support available";"1"
"Clean HTML**";"1"
"UPnP [Note 4]";"1"
"Feature";"21"
"Agent-less";"1"
".pdf";"2"
".pdb";"2"
"Omnidirectional stereo for HMD";"1"
"ext4";"1"
"ext3";"1"
"ext2";"1"
"802.11";"2"
"Tree view editor?";"1"
"GoodRelations RDFa";"1"
"Major purpose";"1"
"Open source?";"2"
"Multipoint";"1"
"Country/US state";"1"
"Staff action logging";"1"
"MPEG-21";"1"
"Structured comparison[26]";"1"
"jQWidgets";"1"
"Integration, other";"1"
"Skipjack";"1"
"Fan charts";"1"
"Processor";"3"
"Wikipedia lookup";"1"
"H.264/MPEG-4 AVC (MPEG-4 Part 10)";"1"
"Insert image";"1"
"Open";"1"
"Flixster";"1"
"Creator / developer";"2"
"UPnP [Note 1]";"1"
"Groups";"1"
"Poland";"9"
"Protocol";"4"
"arm";"1"
"Generics";"1"
"Netflix";"1"
"Describe";"1"
"Crypto back-end";"1"
"Red (CD-DA)";"1"
"DDE support[Note 6]";"1"
"Detector type";"1"
"Team Concert";"1"
"Details + Thumbs";"1"
"Symbol table";"1"
"Sleep";"1"
"Bob Barr";"1"
"Embedded system support";"1"
"Ad-free";"3"
"Predecessors";"1"
"VHD (Connectix Virtual PC)";"1"
"Modification date resolution";"2"
"PostmarketOS";"1"
"RSS 0.91";"1"
"Pre-processing";"1"
"Typical use";"1"
"Yang entering 陽入(8)";"1"
"Property owners association";"1"
"IDE";"30"
"Server Name Indication [173]";"1"
"Mandatory retirement age[note 9]";"1"
"Maps";"1"
"WYSIWYG editor?";"1"
"MP4[34]";"2"
"IDS";"3"
"Mac OS";"3"
"API: language, environment";"1"
"XML Schema editor?";"1"
"Highest court";"1"
"Ad hoc";"1"
"Privacy Advisor";"1"
"IMSP";"1"
"Browse compressed folders";"1"
"Class browser";"4"
"ZFS";"2"
"Themes";"1"
"Passive mode";"1"
"Irish";"3"
"Profile selection[d]";"1"
"Can import UCI[4] engines";"1"
"License (if applies, for example GPL)";"1"
"Line connection";"1"
"Kernel Name";"5"
"Parsing algorithm";"4"
"Mobile web";"1"
"Scroll speed control";"1"
"Multi-server";"2"
"Mouse support";"1"
"GiST";"1"
"SURBL";"1"
"Delete database";"1"
"RSS 1.0";"1"
"Modeling";"1"
"Deforming Motion Blur";"1"
"Launch of foreign satellite";"1"
"First flight";"1"
"Target Boot Time";"1"
"Memory card";"1"
"AVDTP";"1"
"Features";"11"
"Self-hosted server";"1"
"Notes";"66"
"Rock Ridge";"1"
"DES-X";"1"
"Kile/LyX";"1"
"Mailing list";"1"
"RFC 6638 CalDAV sched.(Auto-Schedule)";"1"
"Lifetime";"1"
"Copy Videos";"1"
"QCOW (QEMU)";"1"
"2012[164]";"1"
"Supports same-sex connections";"1"
"Green";"1"
"Private videos";"1"
"ZIP";"2"
"Word";"4"
"IBM ILOG Elixir";"1"
"MIDI";"1"
"Angles";"1"
"Multi-Cube Model";"1"
"Online store";"1"
"OpenPGP [175]";"1"
"Snapshot of running system";"1"
"Database";"5"
"Default package management tool(s)";"1"
"TM grant";"1"
"Filename Encryption";"1"
"Pages";"4"
"IIS";"1"
"Partial file loading";"1"
"Windows 8";"1"
"Windows 7";"1"
"Module";"1"
"Ref(s)";"1"
"SMBFS";"1"
"Tuner Sharing";"1"
"Rotate";"1"
"API frame-based";"1"
"Data types";"1"
"RAW imports";"1"
"Brightness control";"1"
"Kernel type";"5"
"show filtered data in all fields";"1"
"Adult single day lift ticket price";"1"
"Deflate";"1"
"First flight mission";"1"
"Antenna House";"2"
"Radio spectrum";"1"
"Shared editing";"1"
"Target Business Size";"1"
"Update management";"4"
"Integrity check";"2"
"XP, 2000";"1"
"Capability-based security";"1"
"MIME type";"1"
"E-mail client";"1"
"BSD/OS (BSD/386, BSDI)";"1"
"sect163r2 NIST B-163 (3)[81]";"1"
"OS version";"1"
"ADC hub";"4"
"SSH2";"1"
"SSH1";"1"
"IM—";"1"
"Function scope";"1"
"Unicode file / directory names[5]";"1"
"reverse(string)";"1"
"MODS XML";"2"
"Family";"1"
"Share";"2"
"Tru64 UNIX";"1"
"Estimated requirements";"1"
"IEEE Xplore";"1"
"Advanced command";"1"
"Visual Themes";"1"
"Max column name size";"1"
"Multiple addresses";"1"
"High rising (9)";"1"
"Conflicting evidence";"1"
"Multichannel";"3"
"High availability";"1"
"Default Package Management Tools";"1"
"Frame rate (forward)";"1"
"Bytecode";"1"
"Mission";"1"
"Protocol (spec) version support";"1"
"History Channel";"1"
"Flare";"1"
"Primary service";"1"
"Runs on Mac OS X";"1"
"Archi- tecture";"1"
"Remote desktop";"1"
"Producer";"1"
"Add-on support";"1"
"Default task";"1"
"Call-pattern checker";"1"
"Latest release year";"1"
"Screen size (inch)";"2"
"Tagging[Note 1]";"1"
"Scarlet (SACD)";"1"
"Features supported (instruction set)";"1"
"Lifecycle Policy support?";"1"
"Year of First Use";"1"
"Backward-forward";"1"
"Designer";"2"
"UDP flood protection";"1"
"Form Handler";"1"
"Difficulty of production";"5"
"Misc (wrapper based, like interpreters)";"1"
"IOC";"2"
"Flash";"2"
"Public issues list";"1"
"3D acceleration";"1"
"Maximum host cores / CPUs";"1"
"Release";"1"
"Integrated disk compression utility";"1"
"Status support";"4"
"Version control browsing";"1"
"File transfer";"1"
"Pronunciation guide";"2"
"Fabrication process (nm)";"11"
"thumbnail caching";"1"
"secp256k1 (22)[81]";"1"
"2004[156]";"1"
"SMP aware";"1"
"TeX/LaTeX";"2"
"Manf. /BOM";"1"
"Boolean grammar abilities";"1"
"Supported Programming Languages";"1"
"Access API";"3"
"IPA";"6"
"Scheduling or service";"1"
"RAM";"3"
"Vector shapes";"1"
"Latest stable";"1"
"Autodetect changes12";"1"
"RAR";"2"
"System distribution commitment";"1"
"Process memory editing";"1"
"Forked from";"1"
"IPS";"3"
"IPX";"1"
"Codec";"1"
"Free firmware[note 2]";"4"
"Reporting and analyses";"1"
"Free online storage (non-trial)13";"1"
"Basic metadata search [D 3]";"1"
"On-access scan";"10"
"Mouse input support[Note 1]";"1"
"GDP (USD million)";"1"
"RC2";"1"
"Logical Grouping";"1"
"RegExp for Contents";"1"
"RC4";"1"
"AAC";"3"
"RC5";"1"
"AAF";"1"
"Superlative";"1"
"tɕi";"1"
"Sound";"9"
"OpenID";"1"
"Preview (seconds)";"1"
"Noise removal";"1"
"Symbolic links";"2"
"Master mode";"2"
"Interoperability with Institutional Enterprise Systems";"1"
"Research Manager";"1"
"PATA";"8"
"Modifiers[nb 5]";"1"
"other / special";"1"
"Visualization";"2"
"2003[155]";"1"
"Structural markup";"1"
"Developer/Manufacturer";"1"
"Launched";"1"
"s390x";"1"
"RIPEMD-160";"1"
"Ultrix";"1"
"Launch Vehicle";"1"
"Avg annual snowfall";"1"
"ISI";"1"
"Speaker";"1"
"Can contain icon";"1"
"ACE";"2"
"ISO";"3"
"United States Postal Service";"3"
"ACL";"1"
"Form CAPTCHA";"1"
"ACM";"1"
"Statistics";"1"
"Automatic suggestions";"1"
"Web-Based";"1"
"Geographic restrictions";"1"
"Handwriting recognition";"1"
"View functions";"1"
"Year";"18"
"ECDH-ECDSA[81]";"1"
"Screenshot";"1"
"Power";"1"
"Video support";"1"
"Blowfish";"1"
"HDR output (EXR, HDR, Logluv, etc.)";"1"
"Google Web Toolkit";"1"
"Tail packing";"1"
"Nvidia official driver AMD64";"1"
"Ignores DMCA";"1"
"End-to-end encryption";"1"
"Deployment";"2"
"Open-E [2]";"1"
"RFC";"1"
"Plugin API[5]";"1"
"Tor friendly";"1"
"IPTC Support";"2"
"DHE-PSK (forward secrecy)[95]";"1"
"SRP[94]";"1"
"Norwegian";"1"
"Cookies import";"1"
"Server functionality";"1"
"Vorbis";"1"
"DNS SRV";"1"
"Supports Zero-copy operations";"1"
"WebTorrent";"1"
"lowercase(string) returns string";"1"
"Color";"1"
"Units sold";"1"
"Cost, availability";"2"
"Visual Studio";"1"
"AES";"1"
"Reverse / Firewall DCC";"2"
"Procedural";"2"
"MIPS";"1"
"Display resolution";"1"
"Shared clipboard";"1"
"On-Premises Platform";"1"
"Debugger";"12"
"RIPEMD-128";"1"
"MIRV";"1"
"Video out";"1"
"Subscriptions";"1"
"PCI-Express";"5"
"ISO image";"1"
"L2CAP";"1"
"AFP";"1"
"AFS";"1"
"Multi- threaded downloads";"1"
"Main traits";"1"
"Standard Malay";"1"
"Default Installer";"1"
"Copy files over 2 GB[1]";"4"
"Sync to cloud";"1"
"ReWire";"1"
"Streaming";"1"
"Agency";"1"
"Integrated firewall";"5"
"Blink";"1"
"KHAZAD";"1"
"AGP";"6"
"Brief description";"37"
"Text box, flow diagram [unclear]";"1"
"Medline";"2"
"Interactive menus";"1"
"Tasman";"11"
"Atomic groups [Note 2]";"1"
"Credit bureau(s)";"1"
"LaTeX[25]";"1"
"Norwegian (Bokmål/Nynorsk)";"1"
"RIS";"2"
"Data Storage Method";"1"
"Import";"1"
"Portugal";"9"
"Written in Java only";"2"
"Version compared";"2"
"VHDX (Hyper-V)";"1"
"Example";"1"
"Textual/graphical";"1"
"MSP[23]";"1"
"Tag books";"1"
"Features:";"2"
"Smartphone/tablet remote control";"1"
"Sage Pay Form";"1"
"Max number of files";"1"
"Tags Categories Keywords";"2"
"Actions";"1"
"Determinant";"1"
"Live view";"1"
"Scripting language";"2"
"MS-DOS version";"1"
"Download acceleration";"1"
"Reference types";"1"
"Metadata/RDS/RBDS";"1"
"Last release date";"2"
"Portable Document Format support";"1"
"sect163r1 (2)[81]";"1"
"AIX";"6"
"Current version";"4"
"OpenSSL compatibility Layer[clarify]";"1"
"AmigaOS";"6"
"Documents";"1"
"Last stable version";"1"
"Germany";"9"
"FalconStor";"1"
"Wireless LAN";"1"
"VB.NET";"1"
"Toolkits or SDKs";"1"
"NDIS";"1"
"Network[1]";"1"
"Indexed color";"1"
"ClearCase";"2"
"Development methodologies";"1"
"Database management software";"1"
"UPnP";"1"
"PKCS #11 device";"1"
"Base Distribution";"1"
"On-demand";"1"
"Yin departing 陰去(3)";"1"
"NAT Port Mapping Protocol";"2"
"MongooseIM";"2"
"Alpha Channel";"1"
"FSF approval [35]";"1"
"IPS : Intrusion prevention system";"1"
"Length size";"1"
"Trim extra blank spaces";"1"
"Release Date";"13"
"Adjust Image (functions)";"1"
"Speed limit on single carriageway (km/h)";"1"
"Ping flood protection";"1"
"iSight/Facetime Camera";"1"
"Edit conflict warning";"1"
"Noise level";"1"
"ALZ";"2"
"Indent paragraph";"2"
"IP source address(es)";"1"
"Measuring of beta radiation and range of energy";"1"
"Year of creation";"1"
"Private use";"1"
"Kernel";"3"
"available as statically linked, independent single file executable";"1"
"ATOM Feeds";"1"
"Engine";"11"
"Tool";"2"
"Altmetrics";"1"
"Photic";"1"
"Text message support";"1"
"TLS 1.1[33]";"1"
"Email security";"3"
"Scripting support";"2"
"1.0";"4"
"Encrypt-then-MAC [179]";"1"
"Based Format";"1"
"left(string,n) returns string";"1"
"Orange (CD-R/CD-RW)";"1"
"IBM i";"1"
"Microphone";"1"
"VMDK (VMware)";"1"
"FFmpeg";"1"
"Alexa ranking";"1"
"ZPAQ";"2"
"RPM";"1"
"edgeHTML";"5"
"eBay listing integration";"1"
"Max Capacity";"1"
"Development Status";"1"
"Extended attributes/ Alternate data streams/ forks";"1"
"Memory protection?";"1"
"RSS feeds";"1"
"Launch Date";"2"
"Type inference";"1"
"Courses[nb 6]";"1"
"Comment";"3"
"Edit meta-data";"1"
"Polish";"1"
"Ceph";"1"
"Compile time buffer checks";"1"
"Comments";"5"
"RFC 5689 WebDAV ext. MKCOL";"1"
"AOT";"1"
"RFC 4918 WebDAV ext.";"1"
"Variants";"1"
"APA";"1"
"OpenRISC";"1"
"Other information";"1"
"format(formatstring, items) returns string";"1"
"API";"2"
"RAID support[a]";"1"
"metadata";"1"
"PostgreSQL";"3"
"ssh";"1"
"Digital downloads";"1"
"Directory structure";"1"
"CAST-128";"1"
"Boolean (nesting levels)";"1"
"ISO 8601 support";"1"
"Resuming";"1"
"Parallel Transfer[13]";"1"
"Fedora approval [44]";"1"
"selection (styles)";"1"
"charAt(string,integer) returns character.";"1"
"User Interface";"2"
"Safe Mode";"3"
"Interfacing";"1"
"Codename";"5"
"Code security";"1"
"Presto";"34"
"ARC";"2"
"RSS";"5"
"Threading and Synchronization";"1"
"ARJ";"2"
"Refactoring support";"1"
"Programming language, toolkit";"1"
"2017[169]";"1"
"ARM";"1"
"Books manage metadata";"1"
"Written in";"5"
"Gigabit Ethernet";"2"
"Other functions";"1"
"RTF";"3"
"Multiple Sessions";"1"
"Cores (number)";"1"
"Package management";"2"
"""classic"" Mac OS";"1"
"PayPal Express";"1"
"Local books";"1"
"Frameline glow?";"1"
"ASF";"3"
"Original operating system";"1"
"Exceptions";"1"
"Tables";"1"
"HMAC-SHA256/384";"1"
"MB/s";"3"
"OpenXPS";"2"
"Hardware players";"1"
"WMS-C";"1"
"GUI-based design";"3"
"Java";"25"
"HD DVD";"1"
"Modifies?";"1"
"Distributed Monitoring";"1"
"Embedded videos";"1"
"NAT64, NPTv6";"1"
"Thrust:weight ratio[f]";"1"
"LaTeX";"1"
"ATA";"1"
".cbr/.cbz";"1"
"Linux1";"1"
"QNX4 FS";"1"
"Minimum driver's age";"1"
"Latest stable release version";"1"
"Multiset";"1"
"Directory Compare";"1"
"Default base index";"1"
"Integrated viewer";"1"
"Win.1";"1"
"Privilege separation";"1"
"Rounds";"1"
"Developer[nb 1]";"1"
"Ido";"4"
"JFS";"1"
"Character casing";"1"
"Specific Supported Hardware";"1"
"Command substitution";"1"
"Batch conversion";"1"
"ARW Sony";"1"
"MAPI";"1"
"Roadmap";"1"
"Programming language";"28"
"AVI";"4"
"Visual SourceSafe";"1"
"ẽ";"1"
"Remote Access: Web (HTTP), Telnet, SSH, RDP, Serial COM RS232, ...";"1"
"Configure REJECT-with answer";"1"
"Environment Trimming";"1"
"Regional, National, International or Federated Connectivity?";"1"
"Driver";"7"
"Speed (km/h)";"2"
"Proxy";"2"
"News";"1"
"Latest Stable Release Date";"1"
"Partition";"1"
"MRSS";"1"
"British";"1"
"Romania";"9"
"Intl. $";"1"
"Skinnable";"1"
"Source code availability";"2"
"DMZ (de-militarized zone)";"1"
"DMARC";"1"
"Latest date*";"1"
"Nvidia free software driver";"1"
"Verdiem Surveyor[7]";"1"
"JIT";"2"
"shuffle3G Firmware";"1"
"Case-preserving";"1"
"Resort name and website";"1"
"Job checkpointing";"1"
"Supported notations";"1"
"DOS COM";"1"
"Minimum orders";"1"
"Michael MIC";"1"
"Histogram";"1"
"First release[nb 2]";"1"
"Copy files over 2 GB limit[1]";"1"
"Platform";"28"
"Open standard";"1"
"Tracks (million)";"1"
"Output format";"1"
"Yin rising 陰上(2)";"1"
"Max DB size";"1"
"Type of device";"1"
"Checksum";"1"
"RFC 5545 rev. iCal (Availability Check)";"1"
"Notable features";"1"
"Operating System";"2"
"Firmware";"1"
"arbitrary prime curves (0xFF01)[81][150]";"1"
"Application-layer load balancer";"1"
"Max columns per row";"1"
"Primary Domain";"1"
"Executable format (also see section below)";"1"
"MPEG4";"1"
"Hardware encryption";"1"
"Edition";"2"
"YouTube";"1"
"Online storage";"1"
"Package";"3"
"Multi-satellite simultaneous launches";"1"
"Unpaywall[41]";"1"
"QuickTime Video Effects in mov";"1"
"Lambda functions";"1"
"ICalendar journals";"1"
"Block journaling";"1"
"Ext JS";"1"
"NAWS[17]";"1"
"Implementation";"20"
"Hulu";"1"
"Mainly Used For";"2"
"Traffic rate-limit / QoS";"1"
"h-index";"1"
"Restricted shell subset";"1"
"Reference";"38"
"ICalendar tasks";"1"
"RealVideo";"1"
"Require free software on registration";"1"
"Smartphone/tablet syncing";"1"
"SCO OpenServer";"1"
"Based on (kernel)";"2"
"Max Blob/Clob size";"1"
"(i)ũ";"1"
"Computer architectures supported";"1"
"Overclock capable";"1"
"Gear width (with external)";"1"
"Session tabs";"1"
"Data Synergy PowerMAN[3]";"1"
"Show lists, artist playlists and charts";"1"
"HTML";"5"
"Compression algorithm";"1"
"Governor term length";"1"
"Lens correction";"1"
"Salsa20";"1"
"PCB editing?";"1"
"ATSC tuner support";"1"
"Supported filesystem";"1"
"sect163k1 NIST K-163 (1)[81]";"1"
"Released";"3"
"User action required";"1"
"Hungary";"9"
"DirectX";"2"
"arbitrary char2 curves (0xFF02)[81][150]";"1"
"Setting";"1"
"StuffIt X";"1"
"FTP Upload";"1"
"Adjust to display size";"1"
"Networkable";"1"
"CR2 Canon";"1"
"Recursion";"1"
"Live migration";"1"
"Intelligent playlists from database (based on criteria)";"1"
".well-known URLs";"1"
"ChromeOS";"2"
"Active";"8"
"Visual query builder";"1"
"Spatial";"1"
"Description/Focus";"1"
"GPL (v3) compatibility [36][37][38][39][40]";"1"
"VUDU";"1"
"Shutdown on play complete";"1"
"Plasma";"1"
"First in line of succession";"1"
"Generic";"1"
"Amiga Unix";"1"
"Tabbed sections";"1"
"Associative arrays";"1"
"Keyboard and mouse";"1"
"Maximum number of guest VM running";"1"
"Command line interface";"1"
"Export to iTunes";"1"
"Access control list";"1"
"Replace in note";"1"
"Cyclic/continuous";"1"
"Forks";"1"
"sparc32";"1"
"Objects identified via";"1"
"Announced";"1"
"File structure view";"1"
"Owner or creator";"1"
"DHCP";"1"
"RFC 7953 iCal VAVAILABILITY";"1"
"TLS Fallback SCSV [180]";"1"
"Integrated toolchain";"2"
"yFiles";"1"
"Threaded";"1"
"Install-time desktop environment or window manager selection";"1"
"Metadata / tags";"1"
"SCM";"1"
"Time Tracking";"1"
"JACK";"1"
"Corner detection";"1"
"SCO";"1"
